RESPONDENT,TRANTIME,DEPARTS,ARRIVES
465,15,1005,1019
466,15,717,734
467,10,802,814
468,15,702,719
469,20,245,254
470,10,702,714
471,13,617,629
472,45,602,649
473,20,807,829
474,15,632,649
475,20,727,749
476,15,1845,1904
477,27,702,729
478,15,632,649
479,10,542,554
480,17,747,804
481,10,702,714
482,10,802,814
483,129,802,1124
484,30,602,634
485,20,732,754
486,20,732,754
487,20,742,804
488,20,732,754
489,8,747,754
490,10,752,804
491,20,722,744
492,20,622,644
493,3,1255,1254
494,25,732,759
495,15,632,649
496,20,527,549
497,30,732,804
498,30,632,704
499,11,647,659
500,2,732,734
501,30,732,804
502,12,747,804
503,20,747,809
504,10,602,614
505,20,1805,1824
506,20,732,754
507,30,1305,1334
508,20,717,739
509,1,502,504
510,15,445,459
511,15,802,819
512,15,832,849
513,30,832,904
514,30,802,834
515,15,817,834
516,20,602,624
517,40,702,744
518,15,732,749
519,15,732,749
520,15,732,749
521,25,732,759
522,20,712,734
523,25,732,759
524,20,802,824
525,10,602,614
526,15,612,629
527,28,802,829
528,28,802,829
529,25,832,859
530,15,632,649
531,10,742,754
532,10,832,844
533,3,852,854
534,15,732,749
535,75,647,804
536,7,1645,1654
537,18,617,634
538,20,732,754
539,20,552,614
540,20,717,739
541,10,852,904
542,20,832,854
543,30,1345,1419
544,20,802,824
545,5,832,839
546,56,1005,1059
547,10,817,829
548,30,832,904
549,30,732,804
550,30,752,824
551,15,647,704
552,20,702,724
553,10,717,729
554,5,747,754
555,10,717,729
556,12,742,754
557,20,1505,1524
558,5,657,704
559,20,832,854
560,10,832,844
561,15,1505,1519
562,15,717,734
563,20,742,804
564,8,742,749
565,23,652,714
566,15,652,709
567,50,552,644
568,15,702,719
569,20,702,724
570,12,1505,1514
571,15,747,804
572,30,702,734
573,10,717,729
574,20,802,824
575,15,1005,1019
576,10,802,814
577,15,737,754
578,20,902,924
579,30,827,859
580,15,732,749
581,20,832,854
582,15,642,659
583,10,807,819
584,20,702,724
585,18,632,649
586,15,832,849
587,25,532,559
588,13,647,704
589,10,722,734
590,129,802,1004
591,5,732,739
592,60,602,704
593,15,802,819
594,10,747,759
595,15,832,849
596,20,732,754
597,20,617,639
598,15,647,704
599,25,932,959
600,20,717,739
601,20,717,739
602,40,702,744
603,10,1505,1514
604,10,502,514
605,20,842,904
606,15,702,719
607,24,435,459
608,26,702,729
609,25,632,659
610,15,2105,2119
611,5,802,809
612,15,1735,1749
613,10,802,814
614,15,732,749
615,15,732,749
616,40,732,814
617,13,702,714
618,20,802,824
619,15,702,719
620,10,802,814
621,15,757,814
622,25,1705,1729
623,20,732,754
624,20,2115,2139
625,10,1005,1014
626,30,717,749
627,12,647,659
628,30,702,734
629,15,632,649
630,30,647,719
631,10,1645,1654
632,20,632,654
633,8,1005,1009
634,20,305,324
635,20,1205,1224
636,15,1805,1819
637,15,1245,1304
638,10,1135,1144
639,30,1315,1349
640,25,435,459
641,30,1815,1844
642,40,702,744
643,5,1615,1624
644,25,602,629
645,20,802,824
646,20,802,824
647,5,1615,1624
648,15,902,919
649,12,702,714
650,20,647,709
651,20,802,824
652,12,717,729
653,45,702,749
654,30,602,634
655,15,2135,2149
656,20,1505,1524
657,15,917,934
658,45,617,704
659,20,702,724
660,45,617,704
661,20,717,739
662,5,1435,1439
663,15,802,819
664,20,732,754
665,30,632,704
666,20,802,824
667,15,947,1004
668,15,702,719
669,5,652,659
670,25,717,744
671,20,1035,1054
672,20,1635,1654
673,15,647,704
674,10,802,814
675,35,802,839
676,35,602,639
677,15,742,759
678,20,647,709
679,20,702,724
680,15,522,539
681,5,732,739
682,12,647,659
683,17,737,754
684,30,722,754
685,15,832,849
686,20,737,759
687,20,632,654
688,35,732,809
689,12,732,744
690,10,802,814
691,5,1005,1009
692,5,1635,1639
693,5,502,509
694,15,1605,1619
695,15,747,804
696,10,752,804
697,30,632,704
698,15,802,819
699,12,802,814
700,30,632,704
701,30,455,524
702,30,1105,1134
703,25,652,719
704,20,802,824
705,20,722,744
706,5,847,854
707,6,832,839
708,10,902,914
709,10,642,654
710,5,617,624
711,7,802,809
712,15,652,709
713,20,702,724
714,13,415,429
715,15,1505,1519
716,15,732,749
717,20,652,714
718,18,702,719
719,15,2045,2049
720,13,702,714
721,8,747,754
722,12,732,744
723,20,717,739
724,20,702,724
725,20,1605,1624
726,15,642,659
727,129,732,1054
728,3,1305,1304
729,15,602,619
730,10,602,614
731,30,702,734
732,30,732,804
733,30,802,834
734,7,802,809
735,15,747,804
736,10,747,759
737,20,1535,1554
738,10,632,644
739,10,1405,1414
740,10,802,814
741,5,702,709
742,7,552,559
743,7,532,539
744,10,15,14
745,2,747,749
746,10,717,729
747,30,335,404
748,20,502,524
749,10,717,729
750,25,702,729
751,15,547,604
752,20,547,609
753,10,722,734
754,30,732,804
755,30,602,634
756,60,1755,1854
757,15,932,949
758,15,617,634
759,5,632,639
760,15,602,619
761,15,812,829
762,20,832,854
763,20,632,654
764,10,747,759
765,10,305,314
766,25,712,739
767,20,632,654
768,20,532,554
769,15,812,829
770,10,425,434
771,3,902,904
772,8,642,649
773,30,1545,1619
774,15,902,919
775,15,632,649
776,15,1645,1704
777,10,617,629
778,15,1505,1519
779,8,802,809
780,20,632,654
781,15,817,834
782,25,632,659
783,20,802,824
784,10,532,544
785,3,722,724
786,20,632,654
787,25,602,629
788,8,632,639
789,15,732,749
790,15,802,819
791,30,752,824
792,25,632,659
793,3,1805,1804
794,30,807,839
795,8,532,539
796,10,702,714
797,5,757,804
798,20,802,824
799,20,632,654
800,15,732,749
801,30,717,749
802,3,817,819
803,30,747,819
804,12,802,814
805,20,527,549
806,45,702,749
807,10,405,414
808,15,747,804
809,15,902,919
810,15,747,804
811,15,1135,1149
812,30,732,804
813,20,1445,1509
814,20,1405,1424
815,15,732,749
816,20,532,554
817,5,802,809
818,5,1435,1439
819,25,702,729
820,15,2015,2019
821,5,532,539
822,13,652,704
823,20,902,924
824,30,902,934
825,10,632,644
826,15,702,719
827,20,1805,1824
828,30,702,734
829,15,902,919
830,20,517,539
831,15,702,719
832,20,817,839
833,15,802,819
834,15,802,819
835,20,802,824
836,30,2225,2254
837,30,2125,2154
838,35,647,724
839,30,732,804
840,50,552,644
841,20,1035,1054
842,20,1205,1224
843,5,647,654
844,20,527,549
845,20,702,724
846,5,747,754
847,20,802,824
848,25,732,759
849,10,712,724
850,30,632,704
851,15,1705,1719
852,20,612,634
853,20,622,644
854,10,917,929
855,10,917,929
856,5,747,754
857,20,622,644
858,10,1805,1814
859,20,1405,1424
860,15,602,619
861,10,732,744
